<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KHD,20191030,10.58,10.69,9.85,10.68,1000,20.10,20.30,18.70,20.30,2670,0,100
KHD,20191029,11.53,11.53,11.53,11.53,508,21.90,21.90,21.90,21.90,0,0,0
KHD,20191028,11.84,11.84,8.89,10.53,4200,22.50,22.50,16.90,20.00,270,0,0
KHD,20191025,10.10,10.63,8.58,10.63,5100,19.20,20.20,16.30,20.20,4500,500,0
KHD,20191024,10.00,10.26,8.58,10.26,6310,19.00,19.50,16.30,19.50,2670,1200,0
KHD,20191023,10.05,10.05,10.00,10.05,4100,19.10,19.10,19.00,19.10,0,3100,0
KHD,20191022,10.21,10.26,10.00,10.05,3980,19.40,19.50,19.00,19.10,0,800,0
KHD,20191021,10.53,10.53,10.21,10.21,4920,20.00,20.00,19.40,19.40,0,4100,0
KHD,20191018,10.21,10.32,10.21,10.21,4170,19.40,19.60,19.40,19.40,0,0,0
KHD,20191017,10.53,10.53,10.00,10.00,5100,20.00,20.00,19.00,19.00,0,3000,0
KHD,20191016,10.53,10.53,10.48,10.53,3000,20.00,20.00,19.90,20.00,0,0,0
KHD,20191015,10.69,10.69,10.32,10.32,4900,20.30,20.30,19.60,19.60,0,2200,0
KHD,20191014,10.63,10.68,10.58,10.58,2330,20.20,20.30,20.10,20.10,0,0,0
KHD,20191011,9.42,10.84,9.42,10.84,700,17.90,20.60,17.90,20.60,0,0,100
KHD,20191010,11.05,11.05,11.05,11.05,200,21.00,21.00,21.00,21.00,0,0,0
KHD,20191009,9.63,11.37,9.63,10.00,4200,18.30,21.60,18.30,19.00,0,0,100
KHD,20191008,11.32,11.32,11.27,11.26,1440,21.50,21.50,21.40,21.40,0,900,0
KHD,20191007,11.58,11.58,11.32,11.32,2100,22.00,22.00,21.50,21.50,0,1200,0
KHD,20191004,12.37,12.37,11.32,11.32,1570,23.50,23.50,21.50,21.50,0,0,0
KHD,20191003,11.21,11.79,11.16,11.53,2300,21.30,22.40,21.20,21.90,0,1400,0
KHD,20191002,10.89,12.11,10.89,12.11,3340,20.70,23.00,20.70,23.00,0,0,0
KHD,20191001,11.06,11.06,10.79,11.00,6560,21.00,21.00,20.50,20.90,0,2800,0
KHD,20190930,10.95,11.00,10.68,10.95,8040,20.80,20.90,20.30,20.80,0,2900,0
KHD,20190927,10.79,11.06,10.69,10.79,2900,20.50,21.00,20.30,20.50,0,0,0
KHD,20190926,10.53,10.53,10.53,10.53,900,20.00,20.00,20.00,20.00,0,0,0
KHD,20190925,10.53,10.53,10.53,10.53,200,20.00,20.00,20.00,20.00,0,0,0
KHD,20190924,10.10,10.52,10.10,10.53,1700,19.20,20.00,19.20,20.00,0,0,0
KHD,20190923,11.05,11.05,11.05,11.05,200,21.00,21.00,21.00,21.00,0,0,0
KHD,20190920,11.05,11.05,9.84,9.84,3400,21.00,21.00,18.70,18.70,0,1000,0
KHD,20190919,11.06,11.06,11.00,11.00,1000,21.00,21.00,20.90,20.90,0,0,0
KHD,20190918,10.79,11.05,10.79,10.95,4000,20.50,21.00,20.50,20.80,0,0,0
KHD,20190917,10.64,10.64,10.64,10.63,100,20.20,20.20,20.20,20.20,0,0,0
KHD,20190916,10.79,10.84,10.53,10.53,5230,20.50,20.60,20.00,20.00,0,3300,0
KHD,20190913,8.79,11.06,8.79,10.79,16720,16.70,21.00,16.70,20.50,0,0,0
KHD,20190912,9.47,11.52,9.47,11.53,800,18.00,21.90,18.00,21.90,0,0,0
KHD,20190911,11.05,11.05,10.63,10.63,5600,21.00,21.00,20.20,20.20,0,0,0
KHD,20190910,12.47,14.84,12.37,14.84,4400,23.70,28.20,23.50,28.20,0,0,0
KHD,20190909,13.43,15.64,13.43,15.63,200,25.50,29.70,25.50,29.70,0,0,0
KHD,20190906,16.58,16.58,14.11,14.11,4100,31.50,31.50,26.80,26.80,0,2300,0
KHD,20190905,16.58,16.84,16.58,16.58,2300,31.50,32.00,31.50,31.50,0,0,100
